Name,StudentID,CourseCode,Credits
Cindy,110071449,CSE475,3
Cindy,110071449,CSE214,3
Landyn,110071451,CSE114,4
Aldo,110071435,CSE219,4
Koen,110071441,CSE114,4
Ariel,110071434,CSE220,3
Brennan,110071442,CSE101,3
Koen,110071441,CSE220,3
Randy,110071440,CSE214,3
Wayne,110071443,CSE475,3
Rhianna,110071437,CSE475,3
Rhianna,110071437,CSE114,4
Braden,110071438,CSE220,3
Brennan,110071442,CSE219,4
Cindy,110071449,CSE220,3
Sebastian,110071439,CSE475,3
Sebastian,110071439,CSE220,3
Kimberly,110071445,CSE220,3
Braden,110071438,CSE101,3
Destiny,110071436,CSE214,3
Selah,110071446,CSE219,4
Aldo,110071435,CSE220,3
Braden,110071438,CSE219,4
Aldo,110071435,CSE101,3
Ariel,110071434,CSE475,3
Rhianna,110071437,CSE219,4
Aldo,110071435,CSE114,4
Lee,110071448,CSE101,3
Julio,110071432,CSE101,3
Kimberly,110071445,CSE475,3
